slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
13,2490.133333333333,0.6439385327474514,1.2010255658510285,0.45334212573811883,ATL,2026-06-08,optimised
14,2257.3,0.5162335697467461,1.0167421613046086,0.3504817978272554,ATL,2026-06-08,optimised
15,2093.9666666666667,0.09367641053023586,0.3684007116015264,0.17180530390499094,ATL,2026-06-08,optimised
16,2122.1,0.2763415437743017,0.7381440295406408,0.14319361282284437,ATL,2026-06-08,optimised
17,2165.233333333333,0.5725848314818627,1.1344526723717892,0.31826733674355184,ATL,2026-06-08,optimised
18,2320.5333333333333,0.20889791365269827,0.7214390291167778,0.20387673649143354,ATL,2026-06-08,optimised
19,2477.0666666666666,0.42598536628389894,0.9723008189792472,0.17607980124018835,ATL,2026-06-08,optimised
20,2511.0666666666666,0.6498614750857048,1.1741720641271542,0.2963706084177212,ATL,2026-06-08,optimised
21,2536.5333333333333,0.8075329536456709,1.4613069984497473,0.27087212657977855,ATL,2026-06-08,optimised
22,2448.5333333333333,1.2360416842091275,1.8079594309448936,0.37208729511103816,ATL,2026-06-08,optimised
23,2266.0666666666666,0.5842076861376436,1.2486274551408747,0.3569226225847301,ATL,2026-06-08,optimised
24,2254.4333333333334,0.5555895563261586,1.0893569723100047,0.2110180899838084,ATL,2026-06-08,optimised
25,2147.3333333333335,0.3606014707772917,0.87330104226267,0.22094650091146653,ATL,2026-06-08,optimised
26,2005.3333333333333,0.04179690126180199,0.238814011958078,0.07628001045056006,ATL,2026-06-08,optimised
27,1974.5666666666666,0.025622611767510576,0.15016296779848287,0.07528503291028943,ATL,2026-06-08,optimised
28,1978.9666666666667,0.10140602178054606,0.3973820295271681,0.09306209198600347,ATL,2026-06-08,optimised
29,2099.633333333333,0.42003217995281916,0.928831470165178,0.2105696438264939,ATL,2026-06-08,optimised
30,2201.2,0.018693831467647786,0.13869944180148466,0.10977715221215072,ATL,2026-06-08,optimised
31,2109.4,0.0001526351184939547,0.0,0.0,ATL,2026-06-08,optimised
32,1878.9666666666667,0.0001883806704062993,0.0,0.0,ATL,2026-06-08,optimised
33,1749.2333333333333,0.00025696120604282884,0.0,0.0,ATL,2026-06-08,optimised
34,1641.6,0.6033949509807571,1.3007340294806362,0.34840694308608633,ATL,2026-06-08,optimised
35,1524.4,0.6473442005386512,1.2794336014539418,0.3405623932493314,ATL,2026-06-08,optimised
36,1275.3333333333333,1.3411380680271472,2.2297803346437877,0.43537327134869835,ATL,2026-06-08,optimised
37,783.8,0.3090212617908774,1.0496861394652608,0.39969718097361384,ATL,2026-06-08,optimised
38,181.46666666666667,2.71498157267663,4.825142705528364,0.7532634749293589,ATL,2026-06-08,optimised
39,9.8,0.0010068036856141706,0.005235379165193668,0.010261154611598948,ATL,2026-06-08,optimised
40,0.0,0.0,0.0,0.0,ATL,2026-06-08,optimised
41,0.0,0.0,0.0,0.0,ATL,2026-06-08,optimised
42,0.0,0.0,0.0,0.0,ATL,2026-06-08,optimised
43,0.0,0.0,0.0,0.0,ATL,2026-06-08,optimised
44,0.3333333333333333,0.0,0.0,0.0,ATL,2026-06-08,optimised
45,20.7,0.1804647651630492,0.7429653538928414,0.4175445097542377,ATL,2026-06-08,optimised
0,405.3666666666667,0.31502580836954625,1.1512568259522702,0.2534562432241802,ATL,2026-06-08,rule_of_thumb
1,650.8,0.3740029533903489,1.1404746264393224,0.26782568843072485,ATL,2026-06-08,rule_of_thumb
2,1017.4666666666667,0.6282714899393862,1.5362730300879575,0.27337901571142487,ATL,2026-06-08,rule_of_thumb
